图书分类,图书名字,图书信息,图书评论数,图书内容
豆瓣图书标签: 外国文学,追风筝的人,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,(277138人评价),12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟...
豆瓣图书标签: 外国文学,1984,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00,(35725人评价),"★村上春树以《1Q84》向本书致敬
★著名学者刘绍铭经典译本内地首次出版
★62种文字风靡110个国家，全球销量超过5000万册
★《时代周刊》“最好的10..."
豆瓣图书标签: 外国文学,新名字的故事,[意]埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-4 / 59.00元,(1991人评价),"只有你身为女人 才会知道这些丑陋的秘密
两个女人 50年的友谊和战争
如何成为那个更强大的她，又不被她战胜
那不勒斯四部曲NO.2
《我的天才女友》后续， ..."
豆瓣图书标签: 外国文学,二手时间,[白俄] S.A.阿列克谢耶维奇 / 吕宁思 / 中信出版社 / 2016-1 / 55.00元,(4815人评价),"2015年度诺贝尔文学奖得主阿列克谢耶维奇最具分量的作品
发表后荣获德国书业和平奖（2013）、法国美第契散文奖（2013）、俄罗斯「大书奖」读者票选最佳文..."
豆瓣图书标签: 外国文学,雪落香杉树,[美] 戴维·伽特森 / 熊裕 / 作家出版社 / 2017-6 / 52.00元,(401人评价),"编辑推荐:
1995福克纳奖得主
占据《纽约时报》畅销榜首数月
美国书商协会年度之选
被译成30余种文字，全球畅销500万册
当代美国文学史上罕见的超级畅销..."
豆瓣图书标签: 外国文学,鱼王,[俄] 维克托·阿斯塔菲耶夫 / 夏仲翼 等 / 理想国 | 广西师范大学出版社 / 2017-4 / 78.00元,(574人评价),长篇小说《鱼王》是阿斯塔菲耶夫最具个性的一部代表作，俄罗斯当代文学的经典。全书由十三个内容相对独立的“叙事短篇小说”组成，全部围绕着人与自然的关系，深入细致...
豆瓣图书标签: 外国文学,囚鸟,[美] 库尔特·冯内古特 / 董乐山 / 百花洲文艺出版社 / 2017-6 / 38.00元,(972人评价),"我们都是受困于时代的“囚鸟”——既渴望逃离，又踟蹰不前。
联邦最低限度安保措施成人改造所里，颓唐的小老头儿瓦尔特•斯代布克正在等待领他出狱的狱卒。
在他过去..."
豆瓣图书标签: 外国文学,外婆的道歉信,[瑞典] 弗雷德里克·巴克曼 / 孟汇一 / 天津人民出版社 / 2017-5 / 42.00元,(2788人评价),"内容简介：
七岁的爱莎有个古怪又疯狂的外婆，会埋伏在雪堆里吓唬邻居，把重要的事情记在墙上因为墙不会丢，半夜从医院溜出来带着爱莎翻进动物园，在阳台上用彩弹枪射..."
豆瓣图书标签: 外国文学,霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元,(58419人评价),"★马尔克斯唯一正式授权，首次完整翻译
★《霍乱时期的爱情》是我最好的作品，是我发自内心的创作。——加西亚•马尔克斯
★这部光芒闪耀、令人心碎的作品是人类有史..."
豆瓣图书标签: 外国文学,月亮和六便士,[英] 毛姆 / 傅惟慈 / 上海译文出版社 / 2006-8 / 15.00元,(68339人评价),一个英国证券交易所的经纪人，本已有牢靠的职业和地位、美满的家庭，但却迷恋上绘画，像“被魔鬼附了体”，突然弃家出走，到巴黎去追求绘画的理想。他的行径没有人能够...
豆瓣图书标签: 外国文学,世界的凛冬,[英] 肯·福莱特 / 陈杰 / 江苏凤凰文艺出版社 / 2017-3-1 / 132.00（全三册）,(7252人评价),"我亲眼目睹，每一个迈向死亡的生命都在热烈地生长。
全球读者平均3个通宵读完的超级小说《巨人的陨落》的续篇！
火遍全球的20世纪人类史诗“世纪三部曲”第二部。..."
豆瓣图书标签: 外国文学,杀死一只知更鸟,[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元,(11931人评价),成长总是个让人烦恼的命题。成长有时会很缓慢，如小溪般唱着叮咚的歌曲趟过，有时却如此突如其来，如暴雨般劈头盖脸……三个孩子因为小镇上的几桩冤案经历了猝不及防的...
豆瓣图书标签: 外国文学,活着为了讲述,[哥伦比亚] 加西亚·马尔克斯 / 李静 / 南海出版公司 / 2016-4-1 / 55.00元,(2402人评价),"一生中总会遇到一本书，奠定你人生的基调。
★《百年孤独》作者马尔克斯唯一自传
生活不是我们活过的日子，而是我们记住的日子，我们为了讲述而在记忆中重现的日子。..."
豆瓣图书标签: 外国文学,戴上手套擦泪,[瑞典] 乔纳斯·嘉德尔 / 郭腾坚 / 甘肃人民美术出版社 / 2017-5 / 38,(510人评价),"★ 北欧版《霍乱时期的爱情》
★ 作者乔纳斯‧嘉德尔因为此书获选为年度风云人物，由瑞典王储亲自颁奖
★ 同名影集击败《冰与火之歌》荣膺欧洲电视大奖，豆瓣评分..."
豆瓣图书标签: 外国文学,斯通纳,[美] 约翰·威廉斯 / 杨向荣 / 世纪文景/上海人民出版社 / 2016-1 / 39.00元,(12042人评价),"《斯通纳》讲述了生命中最重要的部分：爱，认同，怜悯，志业，傲骨，信任与死亡。
一个勇者有过的失败不失意的人生：即使不能拥有完美的生活，所幸追求过完整的自我。..."
豆瓣图书标签: 外国文学,飘,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,(76860人评价),小说中的故事发生在1861年美国南北战争前夕。生活在南方的少女郝思嘉从小深受南方文化传统的熏陶，可在她的血液里却流淌着野性的叛逆因素。随着战火的蔓廷和生活环...
豆瓣图书标签: 外国文学,我的天才女友,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-1 / 42.00元,(3974人评价),"只有你身为女人才会知道这些丑陋的秘密
两个女人，50年的友谊和战争
过去五年，几乎所有欧美读者都在谈论她、
全球畅销百万册 被翻译成40种语言
《金融时报》..."
豆瓣图书标签: 外国文学,灯塔,[法] 克里斯多夫·夏布特 / 吕俊君 / 北京联合出版公司·后浪出版公司 / 2016-2 / 128.00元,(2507人评价),"若未知的世界让人心生恐惧，
我们是自我封闭，还是勇敢走出去？
欧洲著名漫画诗人夏布特
最敏感忧伤的“慢镜头图像小说”
讲述人类心底无法承受的孤独和渴望拥有的..."
﻿豆瓣图书标签: 文学,百年孤独,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,(110611人评价),《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。...
豆瓣图书标签: 文学,巨人的陨落,[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / 129.80元,(22008人评价),在第一次世界大战的硝烟中，每一个迈向死亡的生命都在热烈地生长——威尔士的矿工少年、刚失恋的美国法律系大学生、穷困潦倒的俄国兄弟、富有英俊的英格兰伯爵，以及痴...
豆瓣图书标签: 文学,1984,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00,(35725人评价),"★村上春树以《1Q84》向本书致敬
★著名学者刘绍铭经典译本内地首次出版
★62种文字风靡110个国家，全球销量超过5000万册
★《时代周刊》“最好的10..."
豆瓣图书标签: 文学,追风筝的人,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,(277138人评价),12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟...
豆瓣图书标签: 文学,房思琪的初戀樂園,林奕含 / 游擊文化 / 2017-2-7 / NTD320,(7683人评价),"令人心碎卻無能為力的真實故事。
性、權力、升學主義──青澀的表皮、變態社會的日常
如果這件事情正在發生，我們要怎麼假裝世界上沒有人以強暴小女孩為樂？
「我下..."
豆瓣图书标签: 文学,雪落香杉树,[美] 戴维·伽特森 / 熊裕 / 作家出版社 / 2017-6 / 52.00元,(401人评价),"编辑推荐:
1995福克纳奖得主
占据《纽约时报》畅销榜首数月
美国书商协会年度之选
被译成30余种文字，全球畅销500万册
当代美国文学史上罕见的超级畅销..."
豆瓣图书标签: 文学,二手时间,[白俄] S.A.阿列克谢耶维奇 / 吕宁思 / 中信出版社 / 2016-1 / 55.00元,(4815人评价),"2015年度诺贝尔文学奖得主阿列克谢耶维奇最具分量的作品
发表后荣获德国书业和平奖（2013）、法国美第契散文奖（2013）、俄罗斯「大书奖」读者票选最佳文..."
豆瓣图书标签: 文学,鱼王,[俄] 维克托·阿斯塔菲耶夫 / 夏仲翼 等 / 理想国 | 广西师范大学出版社 / 2017-4 / 78.00元,(574人评价),长篇小说《鱼王》是阿斯塔菲耶夫最具个性的一部代表作，俄罗斯当代文学的经典。全书由十三个内容相对独立的“叙事短篇小说”组成，全部围绕着人与自然的关系，深入细致...
豆瓣图书标签: 文学,外婆的道歉信,[瑞典] 弗雷德里克·巴克曼 / 孟汇一 / 天津人民出版社 / 2017-5 / 42.00元,(2788人评价),"内容简介：
七岁的爱莎有个古怪又疯狂的外婆，会埋伏在雪堆里吓唬邻居，把重要的事情记在墙上因为墙不会丢，半夜从医院溜出来带着爱莎翻进动物园，在阳台上用彩弹枪射..."
豆瓣图书标签: 文学,世界的凛冬,[英] 肯·福莱特 / 陈杰 / 江苏凤凰文艺出版社 / 2017-3-1 / 132.00（全三册）,(7252人评价),"我亲眼目睹，每一个迈向死亡的生命都在热烈地生长。
全球读者平均3个通宵读完的超级小说《巨人的陨落》的续篇！
火遍全球的20世纪人类史诗“世纪三部曲”第二部。..."
豆瓣图书标签: 文学,囚鸟,[美] 库尔特·冯内古特 / 董乐山 / 百花洲文艺出版社 / 2017-6 / 38.00元,(972人评价),"我们都是受困于时代的“囚鸟”——既渴望逃离，又踟蹰不前。
联邦最低限度安保措施成人改造所里，颓唐的小老头儿瓦尔特•斯代布克正在等待领他出狱的狱卒。
在他过去..."
豆瓣图书标签: 文学,霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元,(58419人评价),"★马尔克斯唯一正式授权，首次完整翻译
★《霍乱时期的爱情》是我最好的作品，是我发自内心的创作。——加西亚•马尔克斯
★这部光芒闪耀、令人心碎的作品是人类有史..."
豆瓣图书标签: 文学,步履不停,[日] 是枝裕和 / 郑有杰 / 北京联合出版公司 / 2017-5 / 36.80元,(2252人评价),"★电影大师是枝裕和亲自撰写，经典代表作原著小说
★拿遍各大国际影展重要奖项，全球影迷热泪推荐！
★绝无冷场的故事，比电影更幽微的人性暗涌；一茶一饭的淡香，触..."
豆瓣图书标签: 文学,月亮和六便士,[英] 毛姆 / 傅惟慈 / 上海译文出版社 / 2006-8 / 15.00元,(68339人评价),一个英国证券交易所的经纪人，本已有牢靠的职业和地位、美满的家庭，但却迷恋上绘画，像“被魔鬼附了体”，突然弃家出走，到巴黎去追求绘画的理想。他的行径没有人能够...
豆瓣图书标签: 文学,活着,余华 / 南海出版公司 / 1998-5 / 12.00元,(129304人评价),地主少爷福贵嗜赌成性，终于赌光了家业一贫如洗，穷困之中的福贵因为母亲生病前去求医，没想到半路上被国民党部队抓了壮丁，后被解放军所俘虏，回到家乡他才知道母亲已...
豆瓣图书标签: 文学,杀死一只知更鸟,[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元,(11931人评价),成长总是个让人烦恼的命题。成长有时会很缓慢，如小溪般唱着叮咚的歌曲趟过，有时却如此突如其来，如暴雨般劈头盖脸……三个孩子因为小镇上的几桩冤案经历了猝不及防的...
豆瓣图书标签: 文学,我们仨,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,(76193人评价),《我们仨》是钱钟书夫人杨绛撰写的家庭生活回忆录。1998年，钱钟书逝世，而他和杨绛唯一的女儿钱瑗已于此前（1997年）先他们而去。在人生的伴侣离去四年后，杨...
豆瓣图书标签: 文学,红楼梦,[清] 曹雪芹 著、高鹗 续 / 人民文学出版社 / 1996-12 / 59.70元,(119392人评价),《红楼梦》是一部百科全书式的长篇小说。以宝黛爱情悲剧为主线，以四大家族的荣辱兴衰为背景，描绘出18世纪中国封建社会的方方面面，以及封建专制下新兴资本主义民主...
豆瓣图书标签: 文学,活着为了讲述,[哥伦比亚] 加西亚·马尔克斯 / 李静 / 南海出版公司 / 2016-4-1 / 55.00元,(2402人评价),"一生中总会遇到一本书，奠定你人生的基调。
★《百年孤独》作者马尔克斯唯一自传
生活不是我们活过的日子，而是我们记住的日子，我们为了讲述而在记忆中重现的日子。..."
豆瓣图书标签: 文学,双峰: 神秘史,[美] 马克·弗罗斯特 / 胡逍扬 / 北京时代华文书局 / 2017-7-16 / 188.00元,(141人评价),☆殿堂级奇幻佳作，邪典巨制。全彩专色印刷，超过300张图文、100张彩色档案资料，包含共济会秘密图腾、神秘邪恶宗教手记、FBI绝密资料、凶案嫌疑人档案、真实...
﻿豆瓣图书标签: 随笔,沉默的大多数,王小波 / 中国青年出版社 / 1997-10 / 27.00元,(39656人评价),这本杂文随笔集包括思想文化方面的文章，涉及知识分子的处境及思考，社会道德伦理，文化论争，国学与新儒家，民族主义等问题；包括从日常生活中发掘出来的各种真知灼见...
豆瓣图书标签: 随笔,看见,柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元,(117037人评价),《看见》是知名记者和主持人柴静讲述央视十年历程的自传性作品，既是柴静个人的成长告白书，某种程度上亦可视作中国社会十年变迁的备忘录。十年前她被选择成为国家电视...
豆瓣图书标签: 随笔,送你一颗子弹,刘瑜 / 上海三联书店 / 2010-1 / 25.00元,(87116人评价),这本书里记录的是作者2005—2009年左右(尤其是2006—2007年)生活里的点点滴滴。在这本书里，被“审视”的东西杂七杂八，有街上的疯老头，有同宿舍的...
豆瓣图书标签: 随笔,我们仨,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,(76193人评价),《我们仨》是钱钟书夫人杨绛撰写的家庭生活回忆录。1998年，钱钟书逝世，而他和杨绛唯一的女儿钱瑗已于此前（1997年）先他们而去。在人生的伴侣离去四年后，杨...
豆瓣图书标签: 随笔,目送,龙应台 / 生活·读书·新知三联书店 / 2009-10 / 39.00元,(78578人评价),目送共由七十四篇散文组成，是为一本极具亲情、感人至深的文集。由父亲的逝世、母亲的苍老、儿子的离开、朋友的牵挂、兄弟的携手共行，写出失败和脆弱、失落和放手，写...
豆瓣图书标签: 随笔,浮生六记,（清）沈复 / 人民文学出版社 / 1999-1 / 5.70元,(15014人评价),这是一部自传体文学的作品，原书六卷，已逸其二，现仅存四卷（有所谓“足本”者，后二记系伪作。书中记叙了作者夫妇间平凡的家居生活，坎坷际遇，和各地浪游闻见。文辞...
豆瓣图书标签: 随笔,这些人，那些事,吴念真 / 译林出版社 / 2011-9 / 28.00元,(42517人评价),"吴念真累积多年、珍藏心底的体会与感动。
他写的每个故事，都蕴藏了我们无法预知的生命能量与心灵启发。
跟他一起回望人生种种，您将学会包容、豁达与感恩……
本书..."
豆瓣图书标签: 随笔,江城,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2012-1 / 36.00元,(22673人评价),"1996年8月底一个温热而清朗的夜晚，我从重庆出发，乘慢船，顺江而下来到涪陵。
涪陵没有铁路，历来是四川省的贫困地区，公路非常糟糕。去哪里你都得坐船，但多半..."
豆瓣图书标签: 随笔,我为你洒下月光,简媜 / 九州出版社 / 2017-6 / 48.00元,(178人评价),"★当代华语文坛散文大家简媜写作三十年纪念之作
★这样的书，一生只能写一本，为致敬，也是向过去的一场告别
★如果《水问》是青春之书，《女儿红》是女性之书，《红..."
豆瓣图书标签: 随笔,时间的果,黎戈 / 北京联合出版公司 / 2017-3 / 39.80,(685人评价),《时间的果》是作家黎戈的最新随笔精选集。本书分为“叶舟”和“根岸”两个部分，“叶舟”收录了作者的文学艺术评论：帕蒂斯密斯的致青春、永井荷风的慢走慢爱、爱因斯...
豆瓣图书标签: 随笔,下雨天一个人在家,[日] 江国香织 / 张乐风、赵峻、李洁 / 南海出版公司 / 2017-4 / 45.00,(269人评价),《下雨天一个人在家》是作家江国香织的随笔集，她以一则则简短美丽的文字，记录下带来幸福的食物、与友人喝酒谈天的时光、深夜徘徊于书店的心情、沉溺于沐浴的欢乐、无...
豆瓣图书标签: 随笔,民主的细节,刘瑜 / 上海三联书店 / 2009-6 / 25.00,(53244人评价),这本书是作者过去几年给一些期刊报纸写的专栏文章结集，其中主要是给《南方人物周刊》的文章。全书中以讲故事的形式，把“美国的民主”这样一个概念性的东西拆解成点点...
豆瓣图书标签: 随笔,人间草木,汪曾祺 / 江苏文艺出版社 / 2005-01 / 20.00元,(4623人评价),"《人间草木》(汪曾祺著)是汪曾祺优秀的散文集。当代文坛上,能同时在小说和散文两块田地里经营,且自成一家的并不多,汪曾祺先生算是其中的一个。汪曾祺先生是公认的..."
豆瓣图书标签: 随笔,吃鲷鱼让我打嗝,[美] 杰西·艾森伯格 / 吴文忠 / 人民文学出版社 / 2017-4 / 49.00,(922人评价),"演员×剧作家×小说家、导演×制片×编剧
杰西•艾森伯格
首部短篇小说集、同名美剧拍摄中
《吃鲷鱼让我打嗝》是杰西•艾森伯格创作的首部短篇小说集。全书以“吃鲷..."
豆瓣图书标签: 随笔,撒哈拉的故事,三毛 / 皇冠出版社 / 1976 / 160 TWD,(57670人评价),"三毛作品中最膾炙人口的《撒哈拉的故事》﹐
由１２篇精采動人的散文結合而成﹐
其中＜沙漠中的飯店＞﹐
是三毛適應荒涼單調的沙漠生活後﹐
重新拾筆的第一篇文字﹐..."
豆瓣图书标签: 随笔,亲爱的安德烈,龙应台、[德] 安德烈 / 人民文学出版社 / 2008-12 / 26.00,(52958人评价),安德烈十四岁的时候，龙应台离开欧洲，返回台湾，就任台北市首任文化局长。等她卸任回到儿子身边，安德烈已是一个一百八十四公分高的十八岁的小伙子，坐在桌子另一边，...
豆瓣图书标签: 随笔,皮囊,蔡崇达 / 天津人民出版社 / 2014-12-1 / 39.80元,(36491人评价),"一部有着小说阅读质感的散文集，也是一本“认心又认人”的书。
作者蔡崇达，本着对故乡亲人的情感，用一种客观、细致、冷静的方式，讲述了一系列刻在骨肉间故事。一个..."
豆瓣图书标签: 随笔,当我谈跑步时我谈些什么,[日] 村上春树 / 施小炜 / 南海出版公司 / 2009-1 / 25.00,(44511人评价),"他以文字名满全球。
他的“蓝调”令万千人神迷忧伤。
文字是他的符号，“跑者蓝调”何尝不是？
不再是浮华迷茫，不再是旖旎感伤，不再羚羊挂角无迹可寻——写了几十..."
豆瓣图书标签: 随笔,孤独六讲,蒋勋 / 广西师范大学出版社 / 2009-10-1 / 36.00元,(34479人评价),美学大师蒋勋以美学家特有的思维和情感切入孤独，从情欲、语言、革命、思维、伦理、暴力六个面向阐释孤独美学，融个人记忆、美学追问、文化反思、社会批判于一体。可以...
豆瓣图书标签: 随笔,瓦尔登湖,[美] 梭罗 / 徐迟 / 上海译文出版社 / 2006-8 / 11.00元,(20756人评价),"这本书的思想是崇尚简朴生活，热爱大自然的风光，内容丰厚，意义深远，语言生动，意境深邃，就像是个智慧的老人，闪现哲理灵光，又有高山流水那样的境界。
书中记录了..."
﻿豆瓣图书标签: 中国文学,活着,余华 / 南海出版公司 / 1998-5 / 12.00元,(129304人评价),地主少爷福贵嗜赌成性，终于赌光了家业一贫如洗，穷困之中的福贵因为母亲生病前去求医，没想到半路上被国民党部队抓了壮丁，后被解放军所俘虏，回到家乡他才知道母亲已...
豆瓣图书标签: 中国文学,围城,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,(186841人评价),《围城》是钱钟书所著的长篇小说。第一版于1947年由上海晨光出版公司出版。1949年之后，由于政治等方面的原因，本书长期无法在中国大陆和台湾重印，仅在香港出...
豆瓣图书标签: 中国文学,沉默的大多数,王小波 / 中国青年出版社 / 1997-10 / 27.00元,(39656人评价),这本杂文随笔集包括思想文化方面的文章，涉及知识分子的处境及思考，社会道德伦理，文化论争，国学与新儒家，民族主义等问题；包括从日常生活中发掘出来的各种真知灼见...
